Índice;Comentário Original;Sentimentos_manual
519;A FOTO NA PEREDE SOS SIMPSINS ANTES DA MEG NACER E DA LIZA PEQUENININHA??????????;NEU
520;SI OS SMORFES SAO AZUIZ PORQ OS SIMPSONS NAO PODEIM SER AMARELOS? RS RS RS;NEG
521;Salveee;POS
522;Top o vídeo você sabia !!;NEU
523;Cada um Dos Dez (10) Segredos Dos Desenhos Animados merecem ser contados para saber Todos os Detalhes e Descobertas nunca Revelados ! Mais uma aula Dos ótimos Lukas Marques e Daniel Molo do maravilhoso Você Sabia sensacional ! Um show de conhecimento sobre Grandes Curiosidades do Mundo Todo ????????;NEU
524;Nossa do Cosme é vanda??;NEG
525;acho que na vdd o retrato na parede é da lisa;NEG
526;o laço da mec e azul a liza e verde kkk;NEG
527;nao e ela nao vei a liza  pequena kkkkkk;NEU
528;"Daora demais seus vídeos!!
???????????????????????";POS
529;a cada like eu bebo água;NEG
530;Pode ter sido a lisa;NEG
531;Gostei muito do video ?;POS
532;Não tem nada a ver;NEG
533;Esse lance de chegar mais perto da camera pra falar ficou da hora. Mas cês deram uma exagerada nele kkk;NEG
534;O comentário que tiver mais like é gay ??;NEG
535;Slv aqui pro Ceará Juazeiro do norte ????;NEU
536;Hello, brother's;POS
537;Já deixei o like;NEG
538;Então eu não sou normal tenho só uma mão;NEG
539;Todos desenhos tem so quatro dedos menos os animes;NEG
540;Reunindo fãs do Você sabia;NEU
541;Oi gente eu amo vcs;POS
542;VAMOS FAZER O VOCÊ SABIA CHEGAR AO 50 MILHÕES;NEU
543;Faz mais explicando sobre a biblia;NEU
544;The New Dinosaurs Evolution;POS
545;The Future is Wild;POS
546;After Man zoólogy of the Future;POS
547;Seria bom nos próximos vídeos eles mostrar como e o Studio e a casa deles kk;NEU
548;0:39 Ah, quem Diria. Mas é Legal saber que o Timmy tinha Anjos cuidando dele??????;POS
549;Apaga o canal;POS
550;Poderia ser a lisa 2:03;NEU
551;Este canal decaiu bastante pelo número de inscritos;NEU
552;Aí só faltou o Papai Lula mulusco ??????;NEG
553;Já deixei meu like ??????;NEU
554;Programação preditiva ??;POS
555;nossa qnd o dani levantou e mostrou o senario inteiro fiquei enshok  nen sabia q era assim o resto do senario;NEG
556;?? pq eu amo tanto os vídeos de vocês ? Bom de mais sempre cheio de explicações;POS
557;Deveriam criar uma versão em desenho animado do palhaço ?? ART de Terrifier!!! ??.;NEU
558;Por favor, traga esses casos de alienígenas jo oceano;NEG
559;Quando eu vi os Simpsons pela primeira vez eu achava que era um desenho para criança eu tinha que ver escondido esse desenho;NEG
560;??????????;POS
561;Deve ser a lisa bb;NEG
562;CHEGUEI CEDOOOOOO;POS
563;Faz sentido, se olharmos ao lado tem um portal verde, tem outro dele lá dentro daquela máquina, como se estivesse sendo usado como algum tipo de cobaia.;NEU
564;opa bom;POS
565;CANAL TA VOLTANDO A SER COMO ANTES ??? AINDA HÁ ESPERANÇAS!;NEU
566;Lukas Marques e Daniel Molo no comando do Você Sabia!;POS
567;Galoucura;POS
568;???;POS
569;11 Minutos e 940 Likes? EXCLUI o CANAL;POS
570;Salve;POS
571;Vocês são demais ?;POS
572;Pela primeira vez eu cheguei em um vídeo cedo;NEU
573;Os Simpsons como sempre prevendo futuro....;NEU
574;"85% vai me ignorar
15% vai me ajudar

NUNCA VOU DESISTIR????????????????";POS
575;Desculpem o atraso de 6 minutos ???;NEU
576;Manda salve por favor;NEG
577;Salve;POS
578;EU SOU BATMAN;NEU
579;"Salve boa tarde galera;assisto esse canal a um tempão;muito bom";POS
580;A fui a primeira ? amo os vídeo de vocês;POS
581;Lukas grava contas bizarras do roblox pfv;POS
582;quem mais chegou cedo?;NEG
583;chegei cedo hoje em;NEU
584;Obs: o Daniel molo encontrou minha mãe quando ela estava saindo e ele mandou um áudio para mim;POS
585;UUUUU CHEGUEI CEDO ME NOTA????;POS
586;????????;POS
587;vídeo daora demais ??;NEU
588;2 minutos e 800 views ja podem se vender;NEU
589;Essa do preço da Megue eu ja tinha visto ha um bom tempo...;NEG
590;Fui um dos primeiros ??;NEU
591;Manda coraçãozinho plss;POS
592;Salve Lukas e Dani só muito fã de vcs te acompanho a muito tempo já me nota;POS
593;Eu sou gay;NEG
594;Salve??;POS
595;Cheguei tarde;NEU
596;Amo muito;POS
597;Amoo esse canal assisto desde os meus 8 aninhos ?????;POS
598;1 minuto bora ??;POS
599;"Diga não ao 6X1
DIGA SIM AO 5X2
Pros políticos diga sim ao 7X0.";NEU
600;Boa tarde Lukas e Daniel.;POS
601;Botão de fora Luladrão ????;NEU
602;Ja vendo essa perfeiçao parabens meninos;POS
603;Muito bommm!!;POS
604;Opa;POS
605;Cheguei;POS
606;oloko;POS
607;PRIMEIROOOOKIOOOOOOOOOO;POS
608;Manda um salve ?;NEU
609;Salve lenda??;POS
610;quem tiver mais like vota no Lula na eleição que vem!!!!!!!;NEG
611;Oi sou muito seu fã queria que você botasse o meu comentário em um dos seus vídeos tchau;POS
612;Salveee;POS
613;Porque desativo ista lucas;POS
614;???? sabia n;NEU
615;5;POS
616;EITAA, CHEGUEI CEDO NESSE CANAL MARAVILHOSO ???;POS
617;um dos primeiros;NEU
618;Salve;POS
619;COMETEI EM TECEIRO;NEU
620;Agora sim posso tomar o meu café da tarde ?;NEU
621;Salvee;POS
622;Salve ??;POS
623;Opaah, cheguei cedo??;POS
624;Cheguei;POS
625;Salve segundo comentário...;POS
626;O comentário que tiver mais like é gay;NEG
627;Segundo;POS
628;qurarto;POS
629;Salveeee;POS
630;segundo;POS
631;Primeirito;POS
632;Primeiro;POS
633;Oi sou seu fã;POS
634;Kkkkk;POS
635;salve;POS
